,Short_description,Description,Caller,Assignment_group,clean_desc
7651,"HostName_1015: average (4 samples) disk free on m:\ is now 15%, which is below the warning threshold (15%) ","HostName_1015: average (4 samples) disk free on m:\ is now 15%, which is below the warning threshold (15%) out of total size 139.4 gb since 02:29pm et on 08/12.
HostName_1015:average (4 samples) disk free on c:\ is now 15%, which is below the warning threshold (15%) out of total size 100.5 gb",vbwszcqn nlbqsuyv,4,host average sample disk free now which below the warning threshold out total size since
7652,HostName_236: internal error: unable to find any processes. since 07:49am et on 08/12,HostName_236: internal error: unable to find any processes.,vbwszcqn nlbqsuyv,57,host internal error unable find any process since
7653,"HostName_1132: robot is inactive,swap memory usage, unable to find any processes, probe processes failed to start are down.","HostName_1132: robot HostName_1132 is inactive..
HostName_1132:average (5 samples) swap memory usage is now 99.98%, which is above the error threshold (95%)
HostName_1132: average (5 samples) memory usage is now 97%, which is above the error threshold (95%)
HostName_1132: internal error: unable to find any processes.
HostName_1132: probe 'processes' failed to start (command = processes.exe) error = (1450) insufficient system resources exist to complete the requested service.  ",vbwszcqn nlbqsuyv,4,host robot inactive swap memory usage unable find any process probe fail start be down average sample now which above the error threshold internal command exe insufficient system resource exist complete request service
7654,unable to connect to wireless,unable to connect to wireless,bcxfhekz bplfrnis,0,unable connect wirelessunable wireless
7655,account unlock ybplwrez.lqcyehbf@gmail.com,account unlock ybplwrez.lqcyehbf@gmail.com,olckhmvx pcqobjnd,0,account unlock
7656,abended job in job_scheduler: Job_1918b,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1918b at 08/12/16 13:12:25",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7657,ticket update on ticket_no0430054,ticket update on ticket_no0430054,fumkcsji sarmtlhy,0,ticket update ticketno
7658,unable to log into my reporting_engineering_tools,unable to log into my reporting_engineering_tools,vktxjamz whbdetvp,0,unable log into reportingengineeringtoolsunable reportingengineeringtool
7659,ticket update for danghtnuell,"from: rakthyesh ramdntythanjesh 
sent: friday, august 12, 2016 10:16 pm
to: bxtqducs zuhoylts
cc: pvbomqht smfkuhwi
subject: inc1538753-telephony_software is missing from pc

dear cegtcil,

danghtnuell  contacted service desk  for assistance on telephony_software issue, kindly assist user on same.


kind ",eqzibjhw ymebpoih,0,ticket update for danghtnuell rakthyesh ramdntythanjesh friday august bxtqducs zuhoylt pvbomqht smfkuhwi inc telephonysoftware miss dear cegtcil contacted service desk assistance issue kindly assist user same kind
7660,unable to view desktop items or folders,unable to view desktop items or folders,pvbomqht smfkuhwi,0,unable view desktop item foldersunable folder
7661,when customer service enters an order for acct #81523266 they get the error sales office not valid for flat rate,"this is a company account with sales office = fmw1.  on 6/18/16, the shipping conditions was updated to 10 (ground) and the default carrier to tupsgrnd

bob lewicki requested that i entered a ticket.  his comments :       ""i believe that some logic for restricting sales offices was added so that infrastructure would not try to use flat rate, but usa should definitely not be on there. i have copied prishry and rabhtui for input. in the meantime can you please enter a ticket to get it corrected, i believe that it should be able to be adjusted in a table""",nkthumgf mwgdenbs,5,when customer service enter order for acct - get the error sale office not valid flat ratethi company account with fmw shipping condition be update ground and default carrier tupsgrnd bob lewicki request that ticket comment believe some logic restrict add infrastructure would try use rate but usa should definitely there have copy prishry rabhtui input meantime can please correct able adjust table
7662,orders from plant_74 & cpp/tm warehouse will not release.   need fixed urgently,"
need urgent help!  see attached document.  example order 35804825 says shipping/receiving pt missing. erp is not recognizing these plants, getting error when trying to add plant_74 as ship/rec plant.  i have checked plant_76 & plant_78 also, same problem.  ",jrzpcesm oznigwvj,10,order plant cpp warehouse will not release need fix urgently urgent help see attach document example say shipping receiving miss erp recognize these get error when try add ship rec have check also same problem
7663,changed laptop and need my phone activated through this pc,please help me log into my phone system using my changed laptop. ,qcehailo wqynckxg,67,change laptop and need phone activate through this pcplease help log into system use
7664,enable  access to erp code cv04n to view the drawing.,enable  access to erp code cv04n to view the drawing.,ntuhoafg bzwefjvk,0,enable access erp code view the drawing
7665,crm issue,"

received from: kpnzvsuw.lwmqyjbv@gmail.com

hello

  i do not have access to the ""forcast to plan"" dashbankrd in crm. see attached screenshot.



markhty dale
sales engineer, illinois (nc3)
kpnzvsuw.lwmqyjbv@gmail.com<mailto:kpnzvsuw.lwmqyjbv@gmail.com>
",kpnzvsuw lwmqyjbv,15,crm issue not have access the forcast plan dashbankrd see attach screenshot markhty dale sale engineer illinois mailto
7666,access request to engineering_tools,access request to engineering_tools,uwiqchfp hnsukjma,18,access request engineeringtoolsaccess engineeringtool
7667,requesting access to s:mgmt drive,"

received from: odfimpjg.ptfoiake@gmail.com

good morning:
requesting access to the above file.

",odfimpjg ptfoiake,4,request access mgmt drive good the above file
7668,unable to access emails from company ipad,unable to access emails from company ipad,vciknubg wdlkabms,0,unable access email company ipadunable ipad
7669,user unable to log in to outlook,user unable to log in to outlook,nmpworvu upgtrvnj,0,user unable log outlookuser outlook
7670,unable to login to collaboration_platform,unable to login to collaboration_platform,jcxwgslk szvgufir,0,unable login collaborationplatformunable collaborationplatform
7671,skype audio issues,"

received from: qwijaspo.ukynmfig@gmail.com

dear it,

i continue to have skype audio issues.  i am unable to hear skype calls through my tablet.  when i call in, specifically when i dial into my directors call in number, i hear every third word.  i have had this issue before and had an it tech fix the issue, i will need this done again.  why does this continue to be an issue?


qwijaspo ukynmfig
sales manager - west coast
qwijaspo.ukynmfig@gmail.com<mailto:qwijaspo.ukynmfig@gmail.com>
",qwijaspo ukynmfig,0,skype audio issue dear continue have unable hear call through tablet when specifically dial into director number every third word this before and tech fix the will need do again why qwijaspo ukynmfig sale manager west coast mailto
7672,HostName_770:average (4 samples) disk free on g:\ is now 8%,"HostName_770:average (4 samples) disk free on g:\ is now 8%, which is below the warning threshold (15%) out of total size 200.0 gb",oldrctiu bxurpsyi,4,host average sample disk free now which below the warning threshold out total size
7673,engineering tool doesn't work,engineering tool doesn't work,ravgfnqp gizaudke,59,engineering tool do not workengineere work
7674,network outage:russia - warehouse:site is down since at 9:24 am et on 08/12.no backup ,"what type of outage:  ___x__network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ____no_____     (yes/no/na) 

2. when did it start  ?   ____9:24 am et on 08/12_________________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __na____    (yes/no/na) 

6. backup circuit active ?   __na______     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,72,network outage russia warehouse site down since backup what type xnetwork circuit power please specify top cert yes when do start schedule maintenance company provider maint ticket have active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
7675,"the pc projector in einstein conf room is not working, it is on but getting no video on the screen.","the pc projector in einstein conf room is not working, it is on but getting no video on the screen.",zlpdkqsw jxabdocs,23,the projector einstein conf room not work but get video screen
7676,unable to create delivery for material mm 7150506 against so 35689265 l20.  material completed 11-aug.,"please assign to erp supply_chain team.   apo and ecc systems require synchronization so that a delivery can be created.  material is needed to ship today, 12-august.",bnoupaki cpeioxdz,56,unable create delivery for material against complete aug please assign erp supplychain team apo and ecc system require synchronization that can need ship august
7677,company mails on mobile phone,"

received from: ctuodmai.vguwqjtd@gmail.com

hello,
pl let me know the process to install and start the access of official mail in my smart phone.
phone details as below.

make: oppo
build number: x9009ex_11_a.19_160711
imei 1 : 869770024432450
imei 2 : 869770024432443

duel sim mobile.

pl let me know any other details needed.


à²•à³ƒà²¤à²œà³à²žà²¤à³†à²—à²³à³ / ",ctuodmai vguwqjtd,0,company mail mobile phone let know the process install and start access official smart detail below make oppo build number imei duel sim any other need
7678,impact awards//password reset,impact awards//password reset,rbozivdq gmlhrtvp,0,impact award password resetimpact reset
7679,network outage:usa refinery - (company):site is hard down since at 9:58 am et on 08/12.no backup circuit.,"what type of outage:  _x____network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___yes______     (yes/no/na) 

2. when did it start  ?   ____9:58 am et on 08/12_________________

3.  scheduled maintenance ( power) ? _______    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? _______    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __na____    (yes/no/na) 

6. backup circuit active ?   ___na_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___________   (yes/no/na) 

9. equipment reset ?    ___________    (yes/no/na) 

10. verified site working on backup circuit ?  _______     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",oldrctiu bxurpsyi,72,network outage usa refinery company site hard down since backup circuit what type xnetwork power please specify top cert yes when do start schedule maintenance provider maint ticket have active contact notify phone email remote dial equipment reset verify work vendor globaltelecom verizon telecomvendor gsc additional diagnostic
7680,replace internal speakers on e7350 due to crackling issue,replace internal speakers on e7350 due to crackling issue,fnqelwpk ahrskvln,23,replace internal speaker due crackle issuereplace crackling issue
7681,"material posting on production order does not balance requirement quantity on order, does not post on qty withdraw","in switzerland, cc 5443: we post material consumption on po 226733620, mat.post. number 5042203075. the material has been discounted in stock and batch, but not posten on the production order (does not show up in the bill of materials)
there are several orders suffering this problem. we need it solved aerp.
contact: brjkmwvo odxwcpie ",brjkmwvo odxwcpie,40,material post production order do not balance requirement quantity qty withdrawin switzerland consumption mat number the have be discount stock and batch but posten show bill there several suffer this problem need solve aerp contact brjkmwvo odxwcpie
7682,discounts,"

received from: peojqgvm.qayeptuo@gmail.com

i am having problems submitting a discount

here is the screen shots im getting



[cid:image001.jpg@01d1f475.30085b20]




[cid:image002.jpg@01d1f475.30085b20]


",peojqgvm qayeptuo,0,discount have problem submit here the screen shot get cid
7683,dell 2in1 7350 device has not been booting despite multiple attempts for a reset or reboot,"dell 2in1 7350 device has not been booting despite multiple attempts for a reset or reboot

",urgqkinl zpcokgbj,23,dell device have not be boot despite multiple attempt for reset rebootdell reboot
7684,unable to view credit card statement on ess,unable to view credit card statement on ess,msbwrchi kdbxtmoq,0,unable view credit card statement essunable ess
7685,erp newweaver business client locked out.,erp newweaver business client locked out.,mqjdyizg amhywoqg,0,erp newweaver business client lock out
7686,erp SID_34 password reset.,erp SID_34 password reset.,feiozqbd uwljchaf,0,erp sid password reset
7687,erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,jcxwgslk szvgufir,0,erp sid account unlock and password reseterp reset
7688,the computer for mii at us_plant facility has got thrown out of company domain,"the computer for mii has got thrown out of company domain

please contact ms. dpuifqeo eglwsfkn for further info",dpuifqeo eglwsfkn,23,the computer for mii usplant facility have get throw out company domainthe domain please contact dpuifqeo eglwsfkn further info
7689,network response time,"at about 8:20 am eastern daylight time, i was on a conference call with usa. the call started dropping out and the only reason i can come up with is a network bottleneck. want to prove or disprove by finding out about the network traffic levels between usa and usa and between usa and the internet during the time the call was made.",kxsceyzo naokumlb,34,network response timeat about eastern daylight time be conference call with usa the start drop out and only reason can come bottleneck want prove disprove find traffic level between internet during make
7690,erp SID_34 locked out.,erp SID_34 locked out.,qipzctgs wjhtbpfr,0,erp sid lock out
7691,ticket update for an account lockout,ticket update for an account lockout,fumkcsji sarmtlhy,0,ticket update for account lockoutticket lockout
7692,unable to load outlook,unable to load outlook,hejsrtpz pxqwbulg,0,unable load outlookunable outlook
7693,"urgent !! need access to all the accounts in iowa, minnesotta, south dakota within crm","need access to all the accounts in iowa, minnesotta, south dakota within crm",qcxivzag vyucbagx,15,urgent need access all the account iowa minnesotta south dakota within crmneed crm
7694,account locked,account locked,nwqktzlx vnlqkgpb,0,account lockedaccount lock
7695,issue executncqulao qauighdpss programdntys in erp when working on vpn_ _urgent,"

received from: rcbdyslq.zuspjbtw@gmail.com

hello,

i have issue when i'm working on vpn form home.
i 'm not able to run mass programdntys in erp when i'm on vpn. last weekend i had to run mass programdnty to add partners in erp but i was not able. i thought it was security issue but i checked that with security erp team.
i made uacyltoe hxgaycze when i was in the office and it is working but i can't do the same at home working on vpn.


please check with high priority!
",rcbdyslq zuspjbtw,0,issue executncqulao qauighdpss programdntys erp when work vpn urgent have iam form home not able run mass weekend programdnty add partner but be think security check that with team make uacyltoe hxgaycze the office and can same please high priority
7696,discounts error,"

received from: itslpwra.vybdkuoa@gmail.com

[cid:image001.png@01d1f46f.7c80d460]

best ",itslpwra vybdkuoa,0,discount error cid best
7697,reset the password for yimwfntl rkdwohas on erp / production / erp,while trying to log the erp part of erp fro the first time. it would not accept my password and locked me out of the system.,yimwfntl rkdwohas,0,reset the password for yimwfntl rkdwohas erp production erpwhile try log part fro time would not accept and lock out system
7698,update cutview to lauacyltoe hxgaycze version,update cutview to lauacyltoe hxgaycze version and adjust to current ms office installation,ihlguasz agnwcqiz,63,update cutview lauacyltoe hxgaycze versionupdate version and adjust current office installation
7699,wi-fi at msg sales not working,"

received from: tbloeczi.gxlmeyph@gmail.com

it-help desk,

we are unable to connect to wi-fi at msg sales since last two/three weeks.

please note, when this was in lotus discussion room, it was working fine and we could connect the same. however now after it has been shifted to msg sales about month back, we are unable to connect.
please check and restore at the earliest.

with best ",tbloeczi gxlmeyph,11,msg sale not work help desk be unable connect since two three week please note when this lotus discussion room fine and could the same however now after have shift about month back check restore early with good
7700,"when i launch collaboration_platform, my internet browser (ie) will not launch.  others around me are experiencing the same thing.","when i launch collaboration_platform, my internet browser (ie) will not launch.  others around me are experiencing the same thing.",zifujpvr vxfkwaqh,23,when launch collaborationplatform internet browser will not other around be experience the same thing
7701,update installation for cutview,update cutview to lauacyltoe hxgaycze version and adjust to current ms office installation,xcfjusyp glbzpedq,63,update installation for cutviewupdate cutview lauacyltoe hxgaycze version and adjust current office
7702,unlock account  email  in cell phone the user luciano amadeu and zpfitlyu cemvwyso,"hello team,

could you please unlock account  email  in cell phone the user luciano amadeu and zpfitlyu cemvwyso

iaxyjkrz.pctnvdrm@gmail.com id: eulalla

zpfitlyu.cemvwyso@gmail.com id: silvaes



",qasdhyzm yuglsrwx,0,unlock account email cell phone the user luciano amadeu and zpfitlyu cemvwyso team could - please eulalla silvae
7703,csscdrill model on configair server not working in SID_34 production,"csscdrill model on configair server not working in SID_34 production:
when starting the csscdrill model from a standard reference product the server responses ""500 internal server error"" -   error: while trying to invoke the method java.util.list.iterator() of a null object loaded from local variable 'locallist'.
when starting the csscdrill model from scratch (w/o selecting a standard reference product) configair comes up, but it does not allow me to complete a good configuration.
the same csscdrill model is working fine in SID_1 uacyltoe hxgaycze environment.

the mill_model model is working fine in SID_1 and SID_34.",iavozegx jpcudyfi,6,csscdrill model configair server not work sid productioncsscdrill production when start the standard reference product response internal error while try invoke method java util list iterator null object load local variable locallist scratch select come but do allow complete good configuration same fine uacyltoe hxgaycze environment millmodel and
7704,lhqsm519:average (4 samples) disk free on h:\ is now 12%,"average (4 samples) disk free on h:\ is now 12%, which is below the warning threshold (15%) out of total size 200.0 gb",oldrctiu bxurpsyi,4,lhqsm average sample disk free now which below the warning threshold out total size
7705,news can not be opened,"

received from: uwofavej.hxyatnjc@gmail.com

hello,

since some days, when the regional news moved to first page of hub, again & again, â€žnews"" appear with out â€žmore"" to open it or a link in the heading

this screen print is just before i wrote this email



[cid:image001.png@01d1f491.67af6c00]

best ",uwofavej hxyatnjc,0,news can not open since some day when the regional move page hub again aznew appear with out azmore link heading this screen print just before write email cid best
7706,replace button is missing on dialog box in shopping basket,"replace button is missing on dialog box in shopping basket when you click on status indicator and msg displays there is a replacement, 'replace' button is missing.  needs to be same as on other grid pages",vbmzgsdk jdmyazti,14,replace button miss dialog box shop basketreplace shopping basket when - click status indicator and msg display there replacement need same other grid page
7707,outlook is not functioning.,outlook is not functioning.,quxwtbcr imdwuhbz,0,outlook not function
7708,enhancement of storage capacity,"

received from: ihmbfeoy.exbgcfsk@gmail.com

dear sir,

we do not have sufficient space of following drives in server. request you to enhance the storage capacity of these drives.


01)   mtbu_ele(\\HostName_95<file:///\\HostName_95>)

02)   eplan vault(\\HostName_97<file:///\\HostName_97>)


",ihmbfeoy exbgcfsk,4,enhancement storage capacity dear sir not have sufficient space follow drive server request - enhance the these mtbuele host file eplan vault
7709,mouse issue,mouse is not working ,wrxikemh uqblenpc,11,mouse issuemouse not work
7710,"12th aug ,friday on-call - basis","

received from: mnxbeuso.rfmdlwuo@gmail.com

dac / gso team â€“

please note the on-call primary/secondary details only for today 12th aug 2016, friday between 23:30 ist to 13th aug 2016, saturday 07:00 ist.

primary â€“ krisyuhnyrt juvfghtla
secondary â€“ thomklmas kahtuithra

",mnxbeuso rfmdlwuo,0,aug friday call basis dac gso team please note the primary ary detail only for between ist saturday krisyuhnyrt juvfghtla thomklmas kahtuithra
7711,mandatory condition mwst is missing for order 35805176 customer master 70928858,"could you please check what is wrong with customer master 81039969? we can't create delivery because there are incomplete log -pricing error: mandatory condition mwst is missing
we check with pricing department and mwst is defined for this customer corretly,

there should be  tax like for turkey tr ""tax free trade zone"" because customer is from  azerbaijan, maybe has to be added some condition for this country also,

we have to ship the tools today because it is new order form new distributor with big potential, so priority -2 

",qnstifeb hybrjfex,5,mandatory condition mwst miss for order customer master could - please check what wrong with can not create delivery because there be incomplete log pricing error price department and define this corretly should tax like turkey free trade zone azerbaijan maybe have add some country also ship the tool new form distributor big potential priority
7712,abended job in job_scheduler: Job_499,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_499 at 08/12/16 04:40:25",ZkBogxib QsEJzdZO,72,abended job jobscheduler abende
7713,setup new ws\svuxjkpg tpurnjvi,setup new ws\svuxjkpg tpurnjvi,svuxjkpg tpurnjvi,17,setup new svuxjkpg tpurnjvisetup tpurnjvi
7714,setup new ws \xovczlad fkicawph,setup new ws \xovczlad fkicawph,xovczlad fkicawph,17,setup new xovczlad fkicawphsetup fkicawph
7715,ak - crm in outlook not working,"

received from: wdpzfqgi.zndgqcux@gmail.com

hello,

can you please help me to solve the following issue?


1.      whenever i want to start outlook, then i get this microsoft dynamics crm message.

2.      in order to proceed further i have to click Â´Â´stornoÂ´Â´= cancel severeal times (2x or 3x)

3.      then the outlook is opened, but there is no connection with crm, which i need.

[cid:image002.jpg@01d1f482.68356731]

s pofgtzdravem / kind ",wdpzfqgi zndgqcux,0,crm outlook not work can - please help solve the following issue whenever want start then get this microsoft dynamics message order proceed further have click stornoa cancel severeal time open but there connection with which need cid pofgtzdravem kind
7716,setup new ws \bzekndcu ivhnpdbu,setup new ws \bzekndcu ivhnpdbu,bzekndcu ivhnpdbu,17,setup new bzekndcu ivhnpdbusetup ivhnpdbu
7717,setup laptop fÃ¼r sandstrahlgerÃ¤t und roboworker\qidgvtwa qvbutayx,setuplaptop fÃ¼r sandstrahlgerÃ¤t und roboworker\qidgvtwa qvbutayx,qidgvtwa qvbutayx,17,setup laptop for sandb and roboworker qidgvtwa qvbutayx
7718,mobiltelefon lautsprecher / mikrofon defekt / gestÃ¶rt,"durchwahl -477
mobilteil gigaset sl2
lautsprecher / mikrofon kratzen bzw. setzten zeitweise aus",tblmnxez ulcmryaf,27,mobile phone loudspeaker microphone defective direct dial gigaset handset scratch expose time
7719,can you please help,"

received from: smktofel.etsoirbw@gmail.com

hiï¼Œ

i want to know how to run the report from finance_app regarding the report of allocation key for cost centers being allocated to different bu, can you please help?

",smktofel etsoirbw,51,can - please help hii want know how run the report financeapp regard allocation key for cost center be allocate different
7720,unable to upload engineering_tool,"

received from: ftsqkvre.bqzrupic@gmail.com

dear sir

i am unable to upload engineering_tools, the error is showing not connected to the server but application shows connected status. please see the screen shot for your ref.

[cid:image001.png@01d1f49b.61c1bcd0]



best ",ftsqkvre bqzrupic,18,unable upload engineeringtool dear sir the error show not connect server but application status please see screen shoot for - ref cid bcd best
7721,password does not work it says 'account is disabled',password does not work it says 'account is disabled',quxwtbcr imdwuhbz,12,password do not work say account disabled
7722,abended job in job_scheduler: Job_2049,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_2049 at 08/12/16 02:57:25",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7723,vendor payment through bank ,"

received from: gnasmtvx.cwxtsvkm@gmail.com

hi pradtheyp/nathyresh

with effect from tuesday(ie 16.08.2016), we propose make all  vendor payments through bank. in order to facilitate  this process you are requested to make the following changes in the vendor master for all domestic vendors. ( list is enclosed)


1)      house bank id to be changed from itelephony_softwarei bank to bank of amerirtca

2)      method of payments should be a,w & c

3)      e mail address to be updated in correspondence internet id

once the changes are made, please confirm so that we can initiate the first payment to vendors through bank.


",gnasmtvx cwxtsvkm,2,vendor payment through bank pradtheyp nathyresh with effect tuesday propose make all order facilitate this process - be request the follow change master for domestic list enclose house itelephonysoftwarei amerirtca method should mail address update correspondence internet once please confirm that can initiate
7724,abended job in job_scheduler: Job_1960,"received from: monitoring_tool@company.com

 abended job in job_scheduler: Job_1960 at 08/12/16 02:01:24",ZkBogxib QsEJzdZO,56,abended job jobscheduler abende
7725,problem in calling through skype,"

received from: ftgvlneh.aitsgqwo@gmail.com

dear sir,

i am facing problems while individual calling as well as attending meetings on skype.

whenever i am trying to connect, it is coming ""not responding"" and skype-app is getting closed & signed out.

request to pl. resolve the same.


for company

ftgvlneh aitsgqwo
asst. mngr. sales â€“ north ( msg)
ftgvlneh.aitsgqwo@gmail.com<mailto:ftgvlneh.aitsgqwo@gmail.com>
",ftgvlneh aitsgqwo,0,problem call through skype dear sir face while individual calling well attend meeting whenever try connect come not respond and app get close sign out request resolve the same for company ftgvlneh aitsgqwo asst mngr sale north msg mailto
7726,erp routing logic missing for the infrastrcture npr forms.,"pls add the below data in the zsd100 and determine the logic through region.

apac = 51113201 csd_ap_xz    custom solution earth cutting
germany = 51111840        csd_na_bdc    bdc usa custom solutions
australia = 51112576 csd_aus_drum drum jobs australia
poland = 51111844 eng_emea_pz  poland quotes/orders eng programdnty eng
amerirtcas = 51111840        csd_na_bdc    bdc usa custom solutions
south africa = 51113351 csd_emea_sa  south africa purchasing

",vbmzgsdk jdmyazti,14,erp route logic miss for the infrastrcture npr form pls add below datum zsd and determine through region apac csdapxz custom solution earth cut germany csdnabdc bdc usa solutions australia csdausdrum drum jobs poland engemeapz quote order eng programdnty amerirtcas south africa csdemeasa purchase
7727,incorrect  tax code in mm,"hello,

we understand from  order booking team that   while  booking order   since yesterday ,   they have come across    many mm's with '0' tax rate  .

material country jivp jivc csr name prod. hierarchy
6740704 in 2 2 chandmt t0130sww0ah2
5146604 in 2 2 chandmt t0130pssh0ru
4869277 in 2 2 chandmt t0130sww0ah2
5146697 in 2 2 chandmt t0130pssh0ru

list of few items which has '0' tax rate  is given above 

at present they are booking order   with correct  tax rate  in oa .

request your assistance    in resolving this   on top priority as we  have put on hold all invoicing   . 


",ikerxqwz prkyuitl,13,incorrect tax code understand order booking team that while since - have come across many with rate material country jivp jivc csr prod hierarchy chandmt sww pssh list few item which give above pre be book correct request assistance resolve this top priority put hold all invoicing
7728,need help in reset password in password_management_tool password manager,need help in reset password in password_management_tool password manager,asthifne baehplqt,0,need help reset password passwordmanagementtool managerneed manager
7729,abended job in job_scheduler: bkbackup_tool_reporting_tool_prod_inc,"received from: monitoring_tool@company.com

 abended job in job_scheduler: bkbackup_tool_reporting_tool_prod_inc at 08/12/16 00:14:27",ZkBogxib QsEJzdZO,72,abended job jobscheduler bkbackuptoolreportingtoolprodinc abende
7730,abended job in job_scheduler: bkbackup_tool_HostName_771_prod_full,"received from: monitoring_tool@company.com

 abended job in job_scheduler: bkbackup_tool_HostName_771_prod_full at 08/12/16 00:06:27",ZkBogxib QsEJzdZO,72,abended job jobscheduler bkbackuptoolhost prodfull abende
7731,account lokced in erp SID_34,account lokced in erp SID_34,vtbqgwnk tamfbgjy,0,account lokce erp sid
7732,recall: ticket_no1536413 -- comments added,"

received from: franhtyu.liu@company.com

franhtyu liu would like to recall the message, ""ticket_no1536413 -- comments added"".


æœ¬è®¯æ¯ä»…ä¾›æŒ‡å®šçš„æŽ¥æ”¶äººä½¿ç”¨ï¼Œå…¶ä¸­å¯èƒ½åŒ…å«é€‚ç”¨æ³•å¾‹é¡¹ä¸‹ç‰¹è®¸çš„ã€ä¿å¯†çš„å’Œç¦æ­¢æŠ«éœ²çš„å†…å®¹ã€‚é™¤æŒ‡å®šçš„æŽ¥æ”¶äººå¤–ï¼Œä¸¥ç¦å…¶ä»–ä»»ä½•äººä¼ æ’­ã€åˆ†å‘æˆ–å¤åˆ¶æœ¬è®¯æ¯ã€‚å¦‚æžœæ‚¨è¯¯æ”¶åˆ°æœ¬è®¯æ¯ï¼Œè¯·é€šçŸ¥å‘ä»¶äººå¹¶å°†è®¯æ¯åˆ é™¤ã€‚
[
select the following link to view the disclaimer in an alternate language. ",vblmcyax vlaorjum,0,recall ticketno comment add franhtyu liu would like the message ascszaooa aec csaaa csacse csa aetmascszaooai aaa aooa aaaaae aaz escyaaaooa etma
7733,abended job in job_scheduler: SID_38hotf,"received from: monitoring_tool@company.com

 abended job in job_scheduler: SID_38hotf at 08/11/16 23:06:26",ZkBogxib QsEJzdZO,72,abended job jobscheduler sid hotf abende
7734,"issue with bex,business_client","

received from: ypuaejsc.yoxrqtsn@gmail.com

dear sir/madam,

i am not able to access bex as well as business_client.

pl rectify immediately. its urgent.

",ypuaejsc yoxrqtsn,0,issue with bex businessclient dear sir madam not able access well rectify immediately - urgent
7735,account locked in ad,account locked in ad,vwdghyai pjehycoz,0,account lock adaccount
7736,required 20 gb additional memory in e drive for server HostName_1042 _ please check attachment,required 20 gb additional memory in e drive for server HostName_1042 _ please check attachment,cubdsrml znewqgop,4,require additional memory drive for server host please check attachmentrequire attachment
7737,not able to login to skype,not able to login to skype,rjlnszei kneatvfu,0,not able login skypenot skype
7738,m drive access,"

received from: uisewznr.ewtmkphs@gmail.com

hi team,

i have lost access to the m drive on my computer. please see the screenshots below. this same issue is occurring for walfgtkek and tagsyrhu. can you please arrange for this access to be reinstated? ",uisewznr ewtmkphs,4,drive access team have lose the computer please see screenshot below this same issue occur for walfgtkek and tagsyrhu can - arrange reinstate
